temperature,Combined Cycle,Combustion Turbine,Diesel,Hydro,Nuclear,Steam Turbine
-15,14.889,20.000,21.111,7.000,1.778,13.222
-10,8.111,9.889,16.889,4.333,1.778,11.111
-5,4.778,5.111,13.667,3.111,1.667,10.000
0,3.333,3.111,11.556,2.667,1.778,9.000
5,2.778,2.444,10.556,2.667,1.889,8.556
10,2.556,2.111,10.222,2.667,2.000,8.333
15,2.778,2.333,10.444,2.667,2.111,8.333
20,3.444,2.667,13.556,2.667,2.667,8.556
25,3.444,3.000,13.444,2.444,3.667,9.333
30,4.000,3.889,14.222,2.889,6.556,11.333
35,7.111,6.556,17.556,8.222,12.333,13.889
